CC_PROPERTY_ID,SITUSCITY,SITUSZIP5,pre_bedrooms,pre_full_baths,pre_half_baths,pre_gla_sqft,pre_rooms,pre_garage_spaces,pre_observations,post_bedrooms,post_full_baths,post_half_baths,post_gla_sqft,post_rooms,post_garage_spaces,post_observations,treatment_date,days_observed,change_bedrooms,change_full_baths,change_half_baths,change_gla_sqft,change_rooms,change_garage_spaces,pct_change_gla
89081993,albany,12203,4.0,2.0,,2562.0,8.0,2.0,6,7.0,3.0,,4208.75,9.0,1.3636363636363635,24,2021-03-06 03:04:20,1004,3.0,1.0,,1646.75,1.0,-0.6363636363636365,64.275956284153
89082446,albany,12203,3.0,3.0,,3025.875,8.0,2.0,24,4.0,3.0,,2508.8333333333335,8.0,2.0,6,2020-07-29 18:35:23,1672,1.0,0.0,,-517.0416666666665,0.0,0.0,-17.08734388124647
89082449,albany,12203,4.0,2.0,2.0,3183.9583333333335,10.0,2.0,48,5.0,2.0,2.0,2584.4285714285716,12.0,2.0,14,2019-08-07 13:03:01,2030,1.0,0.0,0.0,-599.5297619047619,2.0,0.0,-18.82969873155046
89082485,albany,12203,3.0,2.0,1.0,,6.0,2.0,6,3.0,3.0,1.0,3595.4285714285716,8.11111111111111,2.0,30,2018-10-08 18:27:59,2331,0.0,1.0,0.0,,2.1111111111111107,0.0,
89082497,albany,12203,3.0,3.0,1.0,2966.125,11.8,3.0,16,4.0,3.0,1.0,2913.4444444444443,11.916666666666666,3.6666666666666665,18,2018-01-31 22:03:16,2144,1.0,0.0,0.0,-52.68055555555566,0.11666666666666536,0.6666666666666665,-1.776073346725295
89082626,albany,12203,3.0,3.0,1.0,3758.0,10.0,2.0,6,4.0,3.0,1.0,3462.6315789473683,10.0,2.0,29,2019-08-07 13:03:01,2030,1.0,0.0,0.0,-295.3684210526317,0.0,0.0,-7.859723817260024
89082644,albany,12206,3.0,3.0,,2618.25,7.25,2.0,16,4.0,3.0,,2565.0,10.0,2.0,7,2022-07-08 06:59:34,2392,1.0,0.0,,-53.25,2.75,0.0,-2.0338012030936694
89082677,albany,12206,3.0,2.0,,2523.0,7.0,,12,4.0,2.0,,2543.6,9.0,2.0,14,2019-08-07 13:03:33,2104,1.0,0.0,,20.59999999999991,2.0,,0.8164883075703492
89082701,albany,12203,3.0,1.0,1.0,1636.0,7.0,2.0,6,3.0,2.0,,1485.0,6.0,2.3157894736842106,21,2021-01-07 21:21:46,1510,0.0,1.0,,-151.0,-1.0,0.3157894736842106,-9.229828850855744
89082842,albany,12203,3.0,1.0,,1531.0,,,2,3.0,2.0,,2452.0,5.0,,8,2020-06-10 17:13:47,2216,0.0,1.0,,921.0,,,60.156760287393865
89082953,albany,12203,3.0,1.0,,1457.3333333333333,6.0,,14,3.0,2.0,,1504.0,6.0,2.0,10,2020-01-30 19:00:38,2029,0.0,1.0,,46.66666666666674,0.0,,3.2021957913998222
89083046,albany,12203,3.0,2.0,,1530.0,7.0,1.0,12,4.0,2.0,,1530.0,8.0,1.0,14,2018-01-31 22:03:16,2217,1.0,0.0,,0.0,1.0,0.0,0.0
89083103,albany,12203,3.0,1.0,,1284.0,,2.0,2,3.0,2.0,,1284.0,7.0,2.0,14,2019-08-07 13:03:17,2217,0.0,1.0,,0.0,,0.0,0.0
89083229,albany,12203,2.0,2.0,,2058.0,10.0,2.0,6,3.0,2.0,,2058.0,10.0,,3,2024-02-21 05:53:47,126,1.0,0.0,,0.0,0.0,,0.0
89083364,albany,12203,3.0,2.0,,1710.0,8.0,2.5,4,4.0,2.0,,1710.0,8.0,2.6666666666666665,3,2025-03-06 22:11:15,27,1.0,0.0,,0.0,0.0,0.16666666666666652,0.0
89083736,albany,12203,2.0,1.0,1.0,1162.0,5.0,2.0,12,2.0,2.0,,1756.0,6.0,2.0,8,2018-01-31 22:03:16,2134,0.0,1.0,,594.0,1.0,0.0,51.11876075731497
89084030,albany,12208,3.0,2.0,1.0,2554.3636363636365,8.155844155844155,2.0,91,4.0,2.0,1.0,2513.3846153846152,8.923076923076923,2.0,42,2018-01-31 22:03:16,2582,1.0,0.0,0.0,-40.97902097902124,0.7672327672327679,0.0,-1.6042751468760539
89084753,albany,12208,3.0,2.0,1.0,4025.0,10.0,2.0,6,3.0,3.0,1.0,3093.259259259259,10.5625,2.0,54,2018-01-31 22:03:16,2656,0.0,1.0,0.0,-931.7407407407409,0.5625,0.0,-23.148838279273065
89084765,albany,12208,3.0,2.0,1.0,2247.5,7.666666666666667,2.0,28,3.0,3.0,,2216.0,7.0,2.0,8,2019-08-07 13:03:33,2139,0.0,1.0,,-31.5,-0.666666666666667,0.0,-1.4015572858731924
89084840,albany,12208,2.0,1.0,,1223.0,5.0,1.0,10,3.0,1.0,,1503.0,7.0,3.0,12,2022-07-08 05:19:09,965,1.0,0.0,,280.0,2.0,2.0,22.894521668029437
89084855,albany,12208,3.0,2.0,1.0,1902.4117647058824,6.470588235294118,1.0,21,3.0,3.0,,1948.0,6.7272727272727275,1.0,13,2021-07-29 14:11:49,1308,0.0,1.0,,45.58823529411757,0.25668449197860976,0.0,2.3963390123991175
89085011,albany,12208,3.0,2.0,1.0,1532.0,7.0,1.0,12,4.0,2.0,1.0,1532.0,7.0,1.0,17,2018-07-20 20:48:01,1964,1.0,0.0,0.0,0.0,0.0,0.0,0.0
89085041,albany,12208,3.0,2.0,,2226.7368421052633,9.0,4.0,21,4.0,2.0,,1856.0,9.0,4.0,4,2022-03-31 03:23:36,699,1.0,0.0,,-370.73684210526335,0.0,0.0,-16.649333459393027
89085053,albany,12208,3.0,2.0,,1310.4347826086957,6.0,2.0,29,6.0,2.0,,1314.0,6.0,,6,2019-11-05 09:34:29,2030,3.0,0.0,,3.565217391304259,0.0,,0.2720637027206302
89085086,albany,12208,2.0,2.0,,1521.0,6.0,,6,3.0,2.0,,1390.8947368421052,5.7894736842105265,2.0,69,2018-01-31 22:03:16,2414,1.0,0.0,,-130.1052631578948,-0.21052631578947345,,-8.553929201702486
89085215,albany,12208,3.0,2.0,1.0,3167.0,9.0,,6,3.0,3.0,,,8.0,2.0,6,2023-12-06 05:02:10,448,0.0,1.0,,,-1.0,,
89085494,albany,12208,3.0,2.0,1.0,2027.888888888889,8.0,2.0,24,4.0,2.0,1.0,2104.0,8.0,2.0,10,2018-01-31 22:03:16,2582,1.0,0.0,0.0,76.11111111111109,0.0,0.0,3.7532190016985356
89085497,albany,12208,3.0,2.0,1.0,1781.3333333333333,7.416666666666667,2.0,30,4.0,2.0,1.0,1794.0,6.0,2.0,31,2018-11-02 16:02:59,2308,1.0,0.0,0.0,12.666666666666742,-1.416666666666667,0.0,0.7110778443113815
89085506,menands,12204,3.0,2.0,1.0,2048.0,8.0,2.0,10,4.0,2.0,1.0,2038.7368421052631,8.0,2.0,21,2018-07-20 03:05:46,2413,1.0,0.0,0.0,-9.263157894736878,0.0,0.0,-0.4523026315789491
89085512,albany,12208,3.0,2.0,2.0,1990.0,11.0,,8,4.0,2.0,2.0,1990.0,11.0,,6,2023-12-04 14:58:38,2134,1.0,0.0,0.0,0.0,0.0,,0.0
89085590,albany,12206,3.0,2.0,,2039.0,7.0,2.0,8,4.0,3.0,,3204.0,13.0,2.0,3,2023-02-10 17:24:12,1583,1.0,1.0,,1165.0,6.0,0.0,57.13585090730751
89085617,albany,12208,3.0,2.0,1.0,2185.0,9.0,2.0,22,4.0,2.0,1.0,2112.0,7.0,2.0,8,2020-06-10 17:08:56,2104,1.0,0.0,0.0,-73.0,-2.0,0.0,-3.3409610983981692
89085638,albany,12208,3.0,2.0,,1899.6153846153845,7.0,2.0,23,4.0,2.0,,1785.0,7.0,2.0,14,2019-08-07 13:05:15,2030,1.0,0.0,,-114.61538461538453,0.0,0.0,-6.033610042518724
89085794,albany,12208,3.0,2.0,1.0,1931.0,7.0,2.0,37,4.0,2.0,1.0,1984.8,7.828571428571428,2.0,39,2018-01-31 22:03:16,2581,1.0,0.0,0.0,53.799999999999955,0.8285714285714283,0.0,2.786121180735368
89085908,albany,12206,2.0,2.0,,1304.0,6.0,,14,3.0,2.0,,1314.6,6.0,,34,2018-01-31 22:03:16,2585,1.0,0.0,,10.599999999999909,0.0,,0.8128834355828152
89085923,albany,12206,3.0,3.0,2.0,4377.333333333333,8.0,1.3333333333333333,3,3.0,4.0,1.0,4926.4,8.0,2.0,25,2021-09-01 22:22:02,831,0.0,1.0,-1.0,549.0666666666666,0.0,0.6666666666666667,12.54340542187024
89085983,albany,12206,3.0,2.0,,2529.4,9.2,2.0,18,4.0,3.0,1.1159420289855073,4457.723076923077,8.639344262295081,2.9047619047619047,91,2018-01-31 22:03:16,2582,1.0,1.0,,1928.3230769230772,-0.5606557377049182,0.9047619047619047,76.23638321036914
89086031,albany,12206,3.0,3.0,,3060.0,9.0,2.0,8,4.0,3.0,,3145.0,8.0,2.0,6,2023-12-01 07:49:05,2134,1.0,0.0,,85.0,-1.0,0.0,2.7777777777777777
89086061,albany,12206,3.0,2.0,1.0,2154.5,9.0,2.0,8,4.0,2.0,1.0,1841.6,10.615384615384615,2.0,50,2018-01-31 22:03:16,2582,1.0,0.0,0.0,-312.9000000000001,1.615384615384615,0.0,-14.523091204455794
89086067,albany,12206,3.0,2.0,,2419.0,9.0,2.0,6,4.0,2.0,,2450.0,7.0,1.0,6,2024-09-29 16:16:13,233,1.0,0.0,,31.0,-2.0,-1.0,1.281521289789169
