CC_PROPERTY_ID,SITUSSTATE,SITUSCITY,SITUSZIP5,FIRST_LISTING_DATE,FIRST_BEDROOMS,FIRST_FULL_BATHS,FIRST_HALF_BATHS,FIRST_SQFT,LAST_LISTING_DATE,LAST_BEDROOMS,LAST_FULL_BATHS,LAST_HALF_BATHS,LAST_SQFT,BEDROOM_CHANGE,FULL_BATH_CHANGE,HALF_BATH_CHANGE,SQFT_CHANGE,DAYS_BETWEEN_SNAPSHOTS,YEAR_BUILT,LOTSIZESQFT
94952939,ny,mahopac,10541,2015-08-05 13:51:49.000,4,4,1,4042,2025-12-19 18:26:04.000,4,4,1,3866,0,0,0,-176,3789,1998,68825
94712747,ny,mount vernon,10552,2017-03-27 06:29:00.000,4,3,2,,2024-09-01 04:51:55.000,5,3,2,,1,0,0,,2715,1964,4792
94022591,ny,bellport,11713,2015-11-30 20:49:08.000,3,1,,,2024-08-21 10:20:21.000,4,2,,1384,1,1,,,3187,,47916
93973463,ny,bellport,11713,2015-03-18 20:46:26.000,3,2,1,1666,2025-12-11 16:23:52.000,3,2,1,2168,0,0,0,502,3921,1983,10019
94134395,ny,central islip,11722,2015-03-29 05:08:02.000,4,2,1,,2015-11-30 20:07:59.000,4,1,1,,0,-1,0,,246,,14810
93969107,ny,holtsville,11742,2015-04-04 16:11:56.000,3,1,1,,2018-10-26 18:33:58.000,5,2,,,2,1,,,1301,,1307
94171496,ny,halesite,11743,2015-11-30 21:23:58.000,2,1,,1508,2022-05-05 18:20:34.000,4,3,,3800,2,2,,2292,2348,,10890
94011830,ny,medford,11763,2015-11-30 20:05:09.000,3,1,,,2018-02-19 11:00:01.000,2,1,,936,-1,0,,,812,,41818
94052795,ny,northport,11768,2015-11-30 20:01:26.000,3,1,,,2020-07-31 20:45:45.000,3,2,,1400,0,1,,,1705,1995,14810
93829817,ny,shoreham,11786,2019-06-26 09:20:18.000,4,2,,,2025-08-29 13:32:54.000,5,2,,,1,0,,,2256,1908,40946
94262072,ny,smithtown,11787,2019-03-04 20:37:12.000,3,1,1,2298,2025-09-02 16:19:37.000,3,2,,1988,0,1,,-310,2374,1916,15246
93833033,ny,sound beach,11789,2021-05-07 15:22:13.000,4,3,,,2022-07-27 12:20:50.000,1,1,,,-3,-2,,,446,1925,7850
94143161,ny,riverhead,11901,2015-03-27 11:13:54.000,5,3,,,2017-05-19 06:59:08.000,4,3,,3026,-1,0,,,784,2000,248728
94306175,ny,riverhead,11901,2015-04-05 08:57:19.000,3,,1,,2019-08-07 00:15:05.000,4,3,,3560,1,,,,1585,,977486
94017494,ny,amagansett,11930,2015-11-30 19:47:36.000,2,,,,2017-12-15 14:40:45.000,1,1,,,-1,,,,746,,21780
93934313,ny,center moriches,11934,2015-03-16 02:44:36.000,3,1,1,1400,2021-04-05 15:07:19.000,3,1,1,1835,0,0,0,435,2212,,32234
94138871,ny,east hampton,11937,2019-07-02 15:19:57.000,4,2,1,2000,2022-09-10 13:07:14.000,3,2,2,,-1,0,1,,1166,,40075
94003535,ny,manorville,11949,2015-04-01 07:54:58.000,4,1,1,,2018-02-03 14:55:06.000,4,2,1,2200,0,1,0,,1039,1828,56628
93963458,ny,mastic,11950,2015-03-11 13:41:49.000,4,2,1,,2019-08-13 15:53:27.000,4,1,1,2272,0,-1,0,,1616,1997,20038
93888809,ny,ridge,11961,2015-03-17 18:45:42.000,4,2,1,3000,2025-07-08 21:08:27.000,4,2,1,3700,0,0,0,700,3766,1996,436
94220510,ny,southampton,11968,2015-04-01 03:09:51.000,10,5,2,,2025-09-16 05:15:38.000,5,5,1,6632,-5,0,-1,,3821,1895,148104
90495521,ny,athens,12015,2015-07-10 03:03:16.000,7,4,,,2020-12-18 13:39:19.000,2,1,,,-5,-3,,,1988,,744876
93546932,ny,ballston spa,12020,2018-09-12 03:32:12.000,3,1,,1053,2024-08-28 05:05:25.000,3,1,,1200,0,0,,147,2177,,21780
89172863,ny,delmar,12054,2016-05-23 12:06:51.000,3,2,,1772,2016-05-23 12:07:11.000,3,1,,1772,0,-1,,0,0,1896,9148
89099474,ny,albany,12203,2020-04-04 03:42:58.000,4,2,1,2549,2024-02-27 18:08:59.000,5,2,,,1,0,,,1424,1949,436
94368638,ny,swan lake,12783,2017-01-22 22:48:10.000,2,1,,,2024-10-19 14:12:46.000,3,1,,1108,1,0,,,2827,1953,2614
90368504,ny,lake placid,12946,2015-04-10 12:26:27.000,6,4,,,2019-05-15 08:33:36.000,3,1,,,-3,-3,,,1496,1963,436
92224136,ny,camillus,13031,2015-03-20 04:47:20.000,4,2,1,2150,2020-01-23 14:19:35.000,4,3,1,2150,0,1,0,0,1770,2004,32095
89803151,ny,cortland,13045,2018-09-25 08:26:21.000,3,3,1,1391,2025-04-01 14:12:52.000,3,3,1,2191,0,0,0,800,2380,2000,4007520
92312069,ny,liverpool,13088,2015-11-30 20:03:15.000,4,2,,,2023-11-29 06:15:22.000,4,3,1,2570,0,1,,,2921,,8750
89523944,ny,moravia,13118,2016-06-16 19:39:00.000,5,4,,3387,2021-11-02 14:27:36.000,,,,3186,,,,-201,1965,1962,1191802
89679128,ny,afton,13730,2018-07-19 17:31:53.000,3,3,,1828,2025-07-16 19:20:24.000,3,3,,2119,0,0,,291,2554,1976,29621
89811494,ny,andes,13731,2016-05-03 18:09:27.000,2,2,,1180,2019-03-12 21:34:45.000,,,,2080,,,,900,1043,1957,378972
90480977,ny,corfu,14036,2017-01-24 11:00:01.000,2,1,,,2023-08-29 15:15:18.000,3,1,1,,1,0,,,2408,1945,78408
90068171,ny,buffalo,14218,2018-09-19 15:20:24.000,3,3,,2335,2018-12-21 16:19:56.000,,10,,2335,,7,,0,93,1984,5080
156709145,ny,buffalo,14221,2019-11-06 13:44:50.000,3,3,,1800,2025-07-04 11:10:03.000,4,3,,1800,1,0,,0,2067,1964,7841
91025867,ny,avon,14414,2023-02-14 09:55:40.000,3,2,1,2070,2023-07-25 17:24:35.000,4,2,1,2070,1,0,0,0,161,1958,14400
92360627,ny,geneva,14456,2015-01-21 23:51:09.000,3,2,,1430,2025-11-14 14:52:50.000,5,3,,2706,2,1,,1276,3950,1963,15743
89553215,ny,chautauqua,14722,2016-06-03 15:02:00.000,3,3,,2662,2024-05-30 14:55:14.000,3,2,1,2662,0,-1,,0,2918,1938,2000
103095758,oh,dublin,43016,2015-01-27 06:03:00.000,2,1,,1019,2025-05-10 00:42:06.000,2,1,,1434,0,0,,415,3756,1932,576
173551970,oh,ostrander,43061,2015-12-25 13:08:31.000,3,1,1,1346,2020-06-11 19:11:50.000,3,1,1,1746,0,0,0,400,1630,1973,218323
175243541,oh,powell,43065,2016-08-15 23:20:14.000,3,2,1,,2023-06-28 01:38:17.000,4,3,,2184,1,1,,,2508,1983,6490
