CC_PROPERTY_ID,RECORD_DATE_TIME,BEDROOMS,FULL_BATHS,HALF_BATHS,GLA_SQFT,ROOMS,GARAGE_SPACES,SITUSSTATE,SITUSCITY,SITUSZIP5,MIN_BEDS,MAX_BEDS,MIN_BATHS,MAX_BATHS,TREATMENT_PERIOD,PROPERTY_TYPE
89081993,2021-03-06 03:04:20.000,7,3,,4423,9,2,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2021-03-11 05:21:19.000,7,3,,4423,9,2,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2021-03-11 16:37:42.000,7,3,,4423,9,1,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2021-03-11 16:37:42.000,7,3,,4423,9,1,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2021-03-11 22:13:23.000,7,3,,4423,9,1,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2021-03-12 04:47:19.000,7,3,,4423,9,1,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2021-03-18 20:00:11.000,7,3,,4423,9,1,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2021-03-18 23:57:24.000,7,3,,4423,9,2,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2021-03-19 00:02:39.000,7,3,,4423,9,1,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2021-05-21 21:26:20.000,7,3,,4423,9,2,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2021-05-21 21:30:38.000,7,3,,4423,,1,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2021-05-21 21:32:58.000,7,3,,4423,9,1,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2021-05-22 01:28:07.000,7,3,,4423,9,1,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2021-05-22 01:28:07.000,7,3,,4423,9,1,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2022-07-08 16:17:23.000,4,2,,2562,8,2,ny,albany,12203,4,7,2,3,PRE_TREATMENT,TREATED
89081993,2022-07-08 16:17:23.000,4,2,,2562,8,2,ny,albany,12203,4,7,2,3,PRE_TREATMENT,TREATED
89081993,2023-12-05 14:47:37.000,7,3,,1852,,,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2023-12-05 14:47:37.000,7,3,,1852,,,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2023-12-05 21:54:58.000,7,3,,4423,9,2,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2023-12-05 21:54:58.000,7,3,,4423,9,2,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2023-12-05 21:54:58.000,7,3,,4423,9,2,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2023-12-05 21:54:58.000,7,3,,4423,9,2,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2023-12-06 02:31:04.000,4,2,,2562,8,2,ny,albany,12203,4,7,2,3,PRE_TREATMENT,TREATED
89081993,2023-12-06 02:31:04.000,4,2,,2562,8,2,ny,albany,12203,4,7,2,3,PRE_TREATMENT,TREATED
89081993,2023-12-06 02:31:04.000,4,2,,2562,8,2,ny,albany,12203,4,7,2,3,PRE_TREATMENT,TREATED
89081993,2023-12-06 02:31:04.000,4,2,,2562,8,2,ny,albany,12203,4,7,2,3,PRE_TREATMENT,TREATED
89081993,2023-12-06 02:49:15.000,7,3,,4423,9,1,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2023-12-06 02:49:15.000,7,3,,4423,9,1,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2023-12-06 02:49:15.000,7,3,,4423,9,1,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89081993,2023-12-06 02:49:15.000,7,3,,4423,9,1,ny,albany,12203,4,7,2,3,POST_TREATMENT,TREATED
89082446,2020-07-29 18:35:23.000,4,3,,1525,8,2,ny,albany,12203,3,4,3,3,POST_TREATMENT,TREATED
89082446,2020-07-29 18:35:23.000,4,3,,1525,8,2,ny,albany,12203,3,4,3,3,POST_TREATMENT,TREATED
89082446,2020-09-21 18:27:23.000,4,3,,2371,8,2,ny,albany,12203,3,4,3,3,POST_TREATMENT,TREATED
89082446,2020-10-14 13:20:20.000,3,3,,2371,8,2,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2020-12-01 05:12:20.000,3,3,,2371,8,2,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2021-03-16 03:37:28.000,4,3,,2572,8,2,ny,albany,12203,3,4,3,3,POST_TREATMENT,TREATED
89082446,2021-03-17 16:46:16.000,4,3,,3530,8,2,ny,albany,12203,3,4,3,3,POST_TREATMENT,TREATED
89082446,2021-03-17 16:46:16.000,4,3,,3530,8,2,ny,albany,12203,3,4,3,3,POST_TREATMENT,TREATED
89082446,2021-03-22 17:12:18.000,3,3,,2572,8,2,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2021-03-24 12:57:56.000,3,3,,3530,8,2,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2021-05-03 15:22:21.000,3,3,,2572,8,2,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2021-05-07 13:02:32.000,3,3,,3530,8,2,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2022-07-09 18:10:26.000,3,3,,3530,8,2,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2022-07-09 18:10:26.000,3,3,,3530,8,2,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2023-12-05 21:44:51.000,3,3,,,,,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2023-12-05 21:44:51.000,3,3,,,,,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2023-12-05 21:44:51.000,3,3,,,,,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2023-12-05 21:44:51.000,3,3,,,,,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2023-12-06 02:37:39.000,3,3,,3530,8,2,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2023-12-06 02:37:39.000,3,3,,3530,8,2,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2023-12-06 02:37:39.000,3,3,,3530,8,2,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2023-12-06 02:37:39.000,3,3,,3530,8,2,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2023-12-06 05:13:13.000,3,3,,2572,8,2,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2023-12-06 05:13:13.000,3,3,,2572,8,2,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2023-12-06 05:13:13.000,3,3,,2572,8,2,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2023-12-06 05:13:13.000,3,3,,2572,8,2,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2024-02-27 16:44:45.000,3,3,,,,,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2024-02-27 18:02:46.000,3,3,,,,,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2024-02-27 18:02:46.000,3,3,,,,,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082446,2025-02-26 14:22:17.000,3,3,,,,,ny,albany,12203,3,4,3,3,PRE_TREATMENT,TREATED
89082449,2019-08-07 13:03:01.000,5,2,2,3349,12,2,ny,albany,12203,4,5,2,2,POST_TREATMENT,TREATED
89082449,2019-08-07 13:03:01.000,5,2,2,3349,12,2,ny,albany,12203,4,5,2,2,POST_TREATMENT,TREATED
89082449,2021-04-30 10:49:18.000,4,2,2,3470,10,2,ny,albany,12203,4,5,2,2,PRE_TREATMENT,TREATED
89082449,2021-04-30 13:31:23.000,4,2,2,3470,10,2,ny,albany,12203,4,5,2,2,PRE_TREATMENT,TREATED
89082449,2021-04-30 15:56:49.000,4,2,2,3470,10,2,ny,albany,12203,4,5,2,2,PRE_TREATMENT,TREATED
89082449,2021-05-11 14:04:20.000,4,2,2,3470,10,2,ny,albany,12203,4,5,2,2,PRE_TREATMENT,TREATED
89082449,2021-05-11 14:30:12.000,4,2,2,3470,10,2,ny,albany,12203,4,5,2,2,PRE_TREATMENT,TREATED
89082449,2021-06-24 14:20:29.000,4,2,2,3470,10,2,ny,albany,12203,4,5,2,2,PRE_TREATMENT,TREATED
89082449,2021-06-30 14:03:56.000,4,2,2,3470,10,2,ny,albany,12203,4,5,2,2,PRE_TREATMENT,TREATED
89082449,2021-06-30 14:41:48.000,4,2,2,3470,10,2,ny,albany,12203,4,5,2,2,PRE_TREATMENT,TREATED
89082449,2021-06-30 14:41:48.000,4,2,2,3470,10,2,ny,albany,12203,4,5,2,2,PRE_TREATMENT,TREATED
89082449,2023-01-04 21:47:01.000,4,2,2,3366,10,2,ny,albany,12203,4,5,2,2,PRE_TREATMENT,TREATED
