CATEGORY,LEVEL,PROPERTY_COUNT
Bedrooms,0,27803
Bedrooms,0,2507
Bedrooms,1,2861
Bedrooms,2,36814
Bedrooms,3,100319
Bedrooms,4,43374
Bedrooms,5,6736
Bedrooms,6,4910
Bedrooms,7,598
Bedrooms,8,496
Bedrooms,9,154
Bedrooms,10,55
Bedrooms,11,20
Bedrooms,12,39
Bedrooms,13,4
Bedrooms,14,7
Bedrooms,15,2
Bedrooms,16,8
Bedrooms,18,5
Bedrooms,20,5
Bedrooms,23,1
Bedrooms,24,3
Bedrooms,26,1
Bedrooms,27,1
Bedrooms,30,2
Bedrooms,32,1
Bedrooms,36,2
Bedrooms,46,2
Bedrooms,49,6
Bedrooms,52,1
Bedrooms,60,3
Bedrooms,74,1
Bedrooms,77,1
Bedrooms,115,1
Bedrooms,121,1
Bedrooms,148,1
Full Bathrooms,0,22953
Full Bathrooms,0,2463
Full Bathrooms,1,101866
Full Bathrooms,2,81842
Full Bathrooms,3,13543
Full Bathrooms,4,2972
Full Bathrooms,5,596
Full Bathrooms,6,242
Full Bathrooms,7,69
Full Bathrooms,8,39
Full Bathrooms,9,17
Full Bathrooms,10,28
Full Bathrooms,11,8
Full Bathrooms,12,25
Full Bathrooms,13,3
Full Bathrooms,14,5
Full Bathrooms,15,5
Full Bathrooms,16,7
Full Bathrooms,17,3
Full Bathrooms,18,9
Full Bathrooms,19,2
Full Bathrooms,20,7
Full Bathrooms,22,2
Full Bathrooms,23,2
Full Bathrooms,24,4
Full Bathrooms,25,1
Full Bathrooms,28,2
Full Bathrooms,29,4
Full Bathrooms,30,1
Full Bathrooms,31,1
Full Bathrooms,32,2
Full Bathrooms,33,1
Full Bathrooms,35,1
Full Bathrooms,39,1
Full Bathrooms,40,1
Full Bathrooms,41,2
Full Bathrooms,47,1
Full Bathrooms,48,1
Full Bathrooms,52,1
Full Bathrooms,54,1
Full Bathrooms,60,3
Full Bathrooms,63,1
Full Bathrooms,72,1
Full Bathrooms,97,1
Full Bathrooms,126,1
Full Bathrooms,174,1
Full Bathrooms,184,1
Full Bathrooms,192,1
Full Bathrooms,216,1
Full Bathrooms,822,1
Partial Bathrooms,-2,1
Partial Bathrooms,0,148716
Partial Bathrooms,0,4186
Partial Bathrooms,1,69056
Partial Bathrooms,2,3833
Partial Bathrooms,3,138
Partial Bathrooms,4,96
Partial Bathrooms,5,235
Partial Bathrooms,6,249
Partial Bathrooms,7,131
Partial Bathrooms,8,57
Partial Bathrooms,9,19
Partial Bathrooms,10,11
Partial Bathrooms,11,5
Partial Bathrooms,12,6
Partial Bathrooms,13,1
Partial Bathrooms,15,1
Partial Bathrooms,20,3
Partial Bathrooms,65,1
