treated_id,feature,treated_pre,treated_post,treated_change,control_pre,control_post,control_change,did_effect
89081993,BEDROOMS,4.0,7.0,3.0,4.290322580645161,4.297872340425532,0.00754975978037109,2.992450240219629
89081993,FULL_BATHS,2.0,3.0,1.0,2.0,2.0,0.0,1.0
89081993,GLA_SQFT,2562.0,4208.75,1646.75,2489.7524647011314,2499.9758084165996,10.223343715468218,1636.5266562845318
89082446,BEDROOMS,3.0,4.0,1.0,3.88,3.8653846153846154,-0.014615384615384475,1.0146153846153845
89082446,FULL_BATHS,3.0,3.0,0.0,2.92,2.923076923076923,0.003076923076922977,-0.003076923076922977
89082446,GLA_SQFT,3025.875,2508.8333333333335,-517.0416666666665,2604.2863582014597,2601.079341912403,-3.20701628905681,-513.8346503776097
89082449,BEDROOMS,4.0,5.0,1.0,4.9375,4.909090909090909,-0.02840909090909083,1.0284090909090908
89082449,FULL_BATHS,2.0,2.0,0.0,1.875,1.8909090909090909,0.015909090909090873,-0.015909090909090873
89082449,GLA_SQFT,3183.9583333333335,2584.4285714285716,-599.5297619047619,3020.542705110486,3007.9244533669016,-12.618251743584551,-586.9115101611774
89082485,BEDROOMS,3.0,3.0,0.0,3.0,3.0,0.0,0.0
89082485,FULL_BATHS,2.0,3.0,1.0,2.0,2.0,0.0,1.0
89082485,GLA_SQFT,,3595.4285714285716,,2272.8915021561443,2219.8198058145144,-53.07169634162983,
89082497,BEDROOMS,3.0,4.0,1.0,4.4,4.443037974683544,0.043037974683543645,0.9569620253164564
89082497,FULL_BATHS,3.0,3.0,0.0,2.6,2.6455696202531644,0.045569620253164356,-0.045569620253164356
89082497,GLA_SQFT,2966.125,2913.4444444444443,-52.68055555555566,2736.4614869739007,2683.0128197156396,-53.44866725826114,0.7681117027054825
89082626,BEDROOMS,3.0,4.0,1.0,4.421052631578948,4.426470588235294,0.00541795665634659,0.9945820433436534
89082626,FULL_BATHS,3.0,3.0,0.0,2.6315789473684212,2.6176470588235294,-0.013931888544891802,0.013931888544891802
89082626,GLA_SQFT,3758.0,3462.6315789473683,-295.3684210526317,2908.3461646650294,2912.9381452874354,4.591980622406027,-299.9604016750377
89082644,BEDROOMS,3.0,4.0,1.0,3.3421052631578947,3.3448275862068964,0.0027223230490016626,0.9972776769509983
89082644,FULL_BATHS,3.0,3.0,0.0,2.9210526315789473,2.896551724137931,-0.024500907441016295,0.024500907441016295
89082644,GLA_SQFT,2618.25,2565.0,-53.25,2428.913054318041,2427.4287602800696,-1.4842940379712672,-51.76570596202873
89082677,BEDROOMS,3.0,4.0,1.0,3.411764705882353,3.4307692307692306,0.01900452488687776,0.9809954751131222
89082677,FULL_BATHS,2.0,2.0,0.0,2.0,2.0,0.0,0.0
89082677,GLA_SQFT,2523.0,2543.6,20.59999999999991,2386.6684966041385,2384.23032516449,-2.438171439648613,23.038171439648522
89082701,BEDROOMS,3.0,3.0,0.0,3.076923076923077,3.0697674418604652,-0.007155635062611854,0.007155635062611854
89082701,FULL_BATHS,1.0,2.0,1.0,1.2692307692307692,1.255813953488372,-0.013416815742397059,1.013416815742397
89082701,GLA_SQFT,1636.0,1485.0,-151.0,2171.9913057939175,2177.525085072221,5.533779278303427,-156.53377927830343
89082842,BEDROOMS,3.0,3.0,0.0,3.0,3.0,0.0,0.0
89082842,FULL_BATHS,1.0,2.0,1.0,1.0,1.0,0.0,1.0
89082842,GLA_SQFT,1531.0,2452.0,921.0,2122.206774968602,2120.177573940089,-2.0292010285129436,923.029201028513
89082953,BEDROOMS,3.0,3.0,0.0,3.0,3.0,0.0,0.0
89082953,FULL_BATHS,1.0,2.0,1.0,1.0,1.0,0.0,1.0
89082953,GLA_SQFT,1457.3333333333333,1504.0,46.66666666666674,2122.1848549452593,2120.2924497922954,-1.8924051529638746,48.55907181963062
89083046,BEDROOMS,3.0,4.0,1.0,3.0,3.0,0.0,1.0
89083046,FULL_BATHS,2.0,2.0,0.0,2.0,2.0,0.0,0.0
89083046,GLA_SQFT,1530.0,1530.0,0.0,2058.6378938573284,1999.763323925238,-58.87456993209048,58.87456993209048
89083103,BEDROOMS,3.0,3.0,0.0,3.0,3.0,0.0,0.0
89083103,FULL_BATHS,1.0,2.0,1.0,1.25,1.2413793103448276,-0.008620689655172376,1.0086206896551724
89083103,GLA_SQFT,1284.0,1284.0,0.0,2150.5453923315613,2159.2300666958,8.684674364238617,-8.684674364238617
89083229,BEDROOMS,2.0,3.0,1.0,3.4814814814814814,3.5294117647058822,0.04793028322440085,0.9520697167755992
89083229,FULL_BATHS,2.0,2.0,0.0,2.0,2.0,0.0,0.0
89083229,GLA_SQFT,2058.0,2058.0,0.0,2232.1886885445565,2247.297426556859,15.108738012302638,-15.108738012302638
89083364,BEDROOMS,3.0,4.0,1.0,3.5846153846153848,3.6,0.01538461538461533,0.9846153846153847
89083364,FULL_BATHS,2.0,2.0,0.0,2.0,2.0,0.0,0.0
89083364,GLA_SQFT,1710.0,1710.0,0.0,2304.8468994633095,2338.9697468569043,34.12284739359484,-34.12284739359484
89083736,BEDROOMS,2.0,2.0,0.0,2.2,2.1333333333333333,-0.06666666666666687,0.06666666666666687
89083736,FULL_BATHS,1.0,2.0,1.0,1.2,1.211111111111111,0.011111111111111072,0.9888888888888889
89083736,GLA_SQFT,1162.0,1756.0,594.0,1902.359801847476,1857.6136660804584,-44.74613576701768,638.7461357670177
89084030,BEDROOMS,3.0,4.0,1.0,4.0,4.0,0.0,1.0
89084030,FULL_BATHS,2.0,2.0,0.0,2.0,2.0,0.0,0.0
89084030,GLA_SQFT,2554.3636363636365,2513.3846153846152,-40.97902097902124,2583.8317476228995,2505.23834409114,-78.59340353175958,37.614382552738334
89084753,BEDROOMS,3.0,3.0,0.0,4.4,4.385542168674699,-0.014457831325301207,0.014457831325301207
89084753,FULL_BATHS,2.0,3.0,1.0,2.0,2.0,0.0,1.0
89084753,GLA_SQFT,4025.0,3093.259259259259,-931.7407407407409,3060.4094430582527,3078.9843177565895,18.57487469833677,-950.3156154390776
89084765,BEDROOMS,3.0,3.0,0.0,3.7857142857142856,3.814814814814815,0.029100529100529293,-0.029100529100529293
89084765,FULL_BATHS,2.0,3.0,1.0,2.0,2.0,0.0,1.0
89084765,GLA_SQFT,2247.5,2216.0,-31.5,2442.3774062540006,2452.2200066848127,9.842600430812126,-41.342600430812126
89084840,BEDROOMS,2.0,3.0,1.0,2.0,2.0,0.0,1.0
89084840,FULL_BATHS,1.0,1.0,0.0,1.0,1.0,0.0,0.0
89084840,GLA_SQFT,1223.0,1503.0,280.0,1855.8666632675886,1847.2313707566095,-8.63529251097907,288.63529251097907
89084855,BEDROOMS,3.0,3.0,0.0,3.0,3.0,0.0,0.0
89084855,FULL_BATHS,2.0,3.0,1.0,2.0,2.0,0.0,1.0
89084855,GLA_SQFT,1902.4117647058824,1948.0,45.58823529411757,2020.9136550933024,2011.5511969841448,-9.362458109157615,54.95069340327518
89085011,BEDROOMS,3.0,4.0,1.0,3.0,3.0,0.0,1.0
89085011,FULL_BATHS,2.0,2.0,0.0,2.0,2.0,0.0,0.0
89085011,GLA_SQFT,1532.0,1532.0,0.0,2030.183991092961,2002.9590052582123,-27.224985834748622,27.224985834748622
89085041,BEDROOMS,3.0,4.0,1.0,3.787878787878788,3.793103448275862,0.005224660397074032,0.994775339602926
89085041,FULL_BATHS,2.0,2.0,0.0,1.696969696969697,1.7241379310344827,0.027168234064785635,-0.027168234064785635
89085041,GLA_SQFT,2226.7368421052633,1856.0,-370.73684210526335,2407.291717484996,2418.7071831428107,11.41546565781482,-382.15230776307817
89085053,BEDROOMS,3.0,6.0,3.0,3.0,3.0,0.0,3.0
89085053,FULL_BATHS,2.0,2.0,0.0,2.0,2.0,0.0,0.0
89085053,GLA_SQFT,1310.4347826086957,1314.0,3.565217391304259,2143.5501495887866,2124.592546823593,-18.95760276519377,22.522820156498028
89085086,BEDROOMS,2.0,3.0,1.0,2.4,2.3026315789473686,-0.09736842105263133,1.0973684210526313
