treated_id,control_id,match_rank,distance,treated_beds,control_beds,treated_baths,control_baths,treated_sqft,control_sqft
89081993,CONTROL_0047,1,1.8192936192704958,4.0,4.0,2.0,2.0,2562.0,2919.8711523010174
89081993,CONTROL_0272,2,2.0648643166926655,4.0,4.0,2.0,2.0,2562.0,2295.332918629926
89081993,CONTROL_0070,3,2.0675176634648893,4.0,4.0,2.0,2.0,2562.0,2524.300272996553
89081993,CONTROL_0171,4,2.163730976324749,4.0,4.0,2.0,2.0,2562.0,2504.4800715360543
89081993,CONTROL_0021,5,2.192044970339317,4.0,5.0,2.0,2.0,2562.0,2573.238601371416
89082446,CONTROL_0047,1,2.5528439801893312,3.0,4.0,3.0,2.0,3025.875,2919.8711523010174
89082446,CONTROL_0187,2,2.5589744222345376,3.0,4.0,3.0,3.0,3025.875,2553.7537354543683
89082446,CONTROL_0214,3,2.6939438475747095,3.0,3.0,3.0,3.0,3025.875,2563.2396525734393
89082446,CONTROL_0043,4,2.808167901068944,3.0,4.0,3.0,3.0,3025.875,2661.021017898127
89082446,CONTROL_0152,5,2.811617900059281,3.0,4.0,3.0,3.0,3025.875,2511.6084272026324
89082449,CONTROL_0047,1,3.043245296006447,4.0,4.0,2.0,2.0,3183.9583333333335,2919.8711523010174
89082449,CONTROL_0021,2,3.1406009153645242,4.0,5.0,2.0,2.0,3183.9583333333335,2573.238601371416
89082449,CONTROL_0064,3,3.194251825752682,4.0,5.0,2.0,1.0,3183.9583333333335,3066.28104255746
89082449,CONTROL_0229,4,3.229686123378193,4.0,5.0,2.0,2.0,3183.9583333333335,3391.7414332405506
89082449,CONTROL_0161,5,3.2532537521327707,4.0,5.0,2.0,2.0,3183.9583333333335,3159.354466653909
89082485,CONTROL_0218,1,1.6607506264477718,3.0,3.0,2.0,2.0,,2328.0530549849227
89082485,CONTROL_0101,2,1.7058229448385338,3.0,3.0,2.0,2.0,,2393.5740368279376
89082485,CONTROL_0245,3,1.7118217521265378,3.0,3.0,2.0,2.0,,2241.510811568184
89082485,CONTROL_0032,4,1.7581358345695437,3.0,3.0,2.0,2.0,,1896.7145928913835
89082485,CONTROL_0280,5,1.8035179230543616,3.0,3.0,2.0,2.0,,2691.363826499095
89082497,CONTROL_0047,1,5.369511752666818,3.0,4.0,3.0,2.0,2966.125,2919.8711523010174
89082497,CONTROL_0162,2,5.506051027930449,3.0,5.0,3.0,3.0,2966.125,2932.2294335440824
89082497,CONTROL_0187,3,5.527995559563852,3.0,4.0,3.0,3.0,2966.125,2553.7537354543683
89082497,CONTROL_0272,4,5.655299552797117,3.0,4.0,3.0,2.0,2966.125,2295.332918629926
89082497,CONTROL_0225,5,5.71875480369457,3.0,5.0,3.0,3.0,2966.125,2971.0846296690966
89082626,CONTROL_0047,1,3.823011117978367,3.0,4.0,3.0,2.0,3758.0,2919.8711523010174
89082626,CONTROL_0162,2,3.8372988381757227,3.0,5.0,3.0,3.0,3758.0,2932.2294335440824
89082626,CONTROL_0187,3,3.932225090761688,3.0,4.0,3.0,3.0,3758.0,2553.7537354543683
89082626,CONTROL_0164,4,3.9741194951571504,3.0,4.0,3.0,2.0,3758.0,3066.149661588681
89082626,CONTROL_0225,5,3.981979310659567,3.0,5.0,3.0,3.0,3758.0,2971.0846296690966
89082644,CONTROL_0214,1,2.2078844009584837,3.0,3.0,3.0,3.0,2618.25,2563.2396525734393
89082644,CONTROL_0187,2,2.2246198254612954,3.0,4.0,3.0,3.0,2618.25,2553.7537354543683
89082644,CONTROL_0147,3,2.2860465877920553,3.0,3.0,3.0,3.0,2618.25,2379.128260134767
89082644,CONTROL_0026,4,2.3439366092655978,3.0,3.0,3.0,3.0,2618.25,2114.591167099252
89082644,CONTROL_0047,5,2.3457545679200518,3.0,4.0,3.0,2.0,2618.25,2919.8711523010174
89082677,CONTROL_0101,1,1.2374761808805907,3.0,3.0,2.0,2.0,2523.0,2393.5740368279376
89082677,CONTROL_0286,2,1.24019883329854,3.0,3.0,2.0,2.0,2523.0,2446.4466488667044
89082677,CONTROL_0272,3,1.25010888315186,3.0,4.0,2.0,2.0,2523.0,2295.332918629926
89082677,CONTROL_0171,4,1.2918302787008553,3.0,4.0,2.0,2.0,2523.0,2504.4800715360543
89082677,CONTROL_0107,5,1.297257687916385,3.0,3.0,2.0,2.0,2523.0,2169.529889609949
89082701,CONTROL_0011,1,2.16785245784347,3.0,3.0,1.0,1.0,1636.0,2264.5473772774913
89082701,CONTROL_0263,2,2.282334760527968,3.0,4.0,1.0,1.0,1636.0,2439.3196601325826
89082701,CONTROL_0102,3,2.370069815447604,3.0,3.0,1.0,1.0,1636.0,2412.399358658699
89082701,CONTROL_0144,4,2.3934200189716672,3.0,3.0,1.0,1.0,1636.0,2172.3810357357484
89082701,CONTROL_0032,5,2.5363424217887505,3.0,3.0,1.0,2.0,1636.0,1896.7145928913835
89082842,CONTROL_0144,1,1.1221578985035927,3.0,3.0,1.0,1.0,1531.0,2172.3810357357484
89082842,CONTROL_0266,2,1.207222582399147,3.0,3.0,1.0,1.0,1531.0,2173.8958372352267
89082842,CONTROL_0149,3,1.222049589250224,3.0,3.0,1.0,1.0,1531.0,2173.5315837576914
89082842,CONTROL_0123,4,1.2528651190777884,3.0,3.0,1.0,1.0,1531.0,2076.737448474917
89082842,CONTROL_0299,5,1.2653237645841366,3.0,3.0,1.0,1.0,1531.0,2064.31514559634
89082953,CONTROL_0144,1,1.289269959822619,3.0,3.0,1.0,1.0,1457.3333333333333,2172.3810357357484
89082953,CONTROL_0266,2,1.391650432301719,3.0,3.0,1.0,1.0,1457.3333333333333,2173.8958372352267
89082953,CONTROL_0149,3,1.4137815216751022,3.0,3.0,1.0,1.0,1457.3333333333333,2173.5315837576914
89082953,CONTROL_0123,4,1.426252874491065,3.0,3.0,1.0,1.0,1457.3333333333333,2076.737448474917
89082953,CONTROL_0299,5,1.4353843814806664,3.0,3.0,1.0,1.0,1457.3333333333333,2064.31514559634
89083046,CONTROL_0234,1,1.3510177325793002,3.0,3.0,2.0,2.0,1530.0,1953.1244805234492
89083046,CONTROL_0032,2,1.4134712113710886,3.0,3.0,2.0,2.0,1530.0,1896.7145928913835
89083046,CONTROL_0093,3,1.4699722780079933,3.0,3.0,2.0,2.0,1530.0,2067.654755384204
89083046,CONTROL_0107,4,1.5737730731689514,3.0,3.0,2.0,2.0,1530.0,2169.529889609949
89083046,CONTROL_0073,5,1.705767795026755,3.0,3.0,2.0,2.0,1530.0,2176.1585533656475
89083103,CONTROL_0011,1,2.1156443236985916,3.0,3.0,1.0,1.0,1284.0,2264.5473772774913
89083103,CONTROL_0102,2,2.3576746733454286,3.0,3.0,1.0,1.0,1284.0,2412.399358658699
89083103,CONTROL_0032,3,2.4326460059283295,3.0,3.0,1.0,2.0,1284.0,1896.7145928913835
89083103,CONTROL_0144,4,2.4363232416338496,3.0,3.0,1.0,1.0,1284.0,2172.3810357357484
89083103,CONTROL_0149,5,2.4842434923824284,3.0,3.0,1.0,1.0,1284.0,2173.5315837576914
89083229,CONTROL_0272,1,3.801585013783967,2.0,4.0,2.0,2.0,2058.0,2295.332918629926
89083229,CONTROL_0032,2,3.9089230481558213,2.0,3.0,2.0,2.0,2058.0,1896.7145928913835
89083229,CONTROL_0101,3,3.9321658302772433,2.0,3.0,2.0,2.0,2058.0,2393.5740368279376
89083229,CONTROL_0107,4,3.9704026661648224,2.0,3.0,2.0,2.0,2058.0,2169.529889609949
89083229,CONTROL_0171,5,4.03644075494554,2.0,4.0,2.0,2.0,2058.0,2504.4800715360543
89083364,CONTROL_0032,1,3.2098354755991707,3.0,3.0,2.0,2.0,1710.0,1896.7145928913835
89083364,CONTROL_0272,2,3.2531520053264495,3.0,4.0,2.0,2.0,1710.0,2295.332918629926
89083364,CONTROL_0047,3,3.3423820029652758,3.0,4.0,2.0,2.0,1710.0,2919.8711523010174
89083364,CONTROL_0070,4,3.3523456194898205,3.0,4.0,2.0,2.0,1710.0,2524.300272996553
89083364,CONTROL_0101,5,3.4033991955370726,3.0,3.0,2.0,2.0,1710.0,2393.5740368279376
89083736,CONTROL_0200,1,2.4456245338561686,2.0,2.0,1.0,1.0,1162.0,1546.60631850984
89083736,CONTROL_0011,2,2.4857287083260435,2.0,3.0,1.0,1.0,1162.0,2264.5473772774913
89083736,CONTROL_0024,3,2.615983011621197,2.0,2.0,1.0,1.0,1162.0,2028.7503516404836
